category,item,price,min_price,max_price
Restaurants,"Meal, Inexpensive Restaurant",10.19 $,6.11,20.00
Restaurants,"Meal for 2 People, Mid-range Restaurant, Three-course",50.94 $,25.47,100.00
Restaurants,McMeal at McDonalds (or Equivalent Combo Meal),9.68 $,9.17,10.00
Restaurants,Domestic Beer (1 pint draught),2.29 $,1.07,4.58
Restaurants,Imported Beer (12 oz small bottle),4.28 $,3.06,6.62
Restaurants,Cappuccino (regular),3.33 $,1.27,5.81
Restaurants,Coke/Pepsi (12 oz small bottle),1.46 $,1.02,2.80
Restaurants,Water (12 oz small bottle),1.17 $,0.66,2.55
Restaurants,"Milk (regular), (1 gallon)",5.15 $,4.43,5.40
Restaurants,Loaf of Fresh White Bread (1 lb),2.25 $,1.34,2.86
Restaurants,"Rice (white), (1 lb)",0.75 $,0.46,0.87
Restaurants,Eggs (regular) (12),2.27 $,1.68,3.06
Restaurants,Local Cheese (1 lb),4.29 $,2.77,7.00
Restaurants,Chicken Fillets (1 lb),2.85 $,2.00,3.47
Restaurants,Beef Round (1 lb) (or Equivalent Back Leg Red Meat),3.97 $,2.27,4.94
Restaurants,Apples (1 lb),1.34 $,0.92,1.62
Restaurants,Banana (1 lb),0.72 $,0.46,1.50
Restaurants,Oranges (1 lb),1.38 $,0.23,1.62
Restaurants,Tomato (1 lb),0.85 $,0.37,1.16
Restaurants,Potato (1 lb),0.94 $,0.69,1.04
Restaurants,Onion (1 lb),1.01 $,0.46,1.36
Restaurants,Lettuce (1 head),1.03 $,0.51,1.27
Restaurants,Water (1.5 liter bottle),1.11 $,0.61,1.43
Restaurants,Bottle of Wine (Mid-Range),9.17 $,6.11,10.00
Restaurants,Domestic Beer (0.5 liter bottle),1.19 $,1.00,1.78
Restaurants,Imported Beer (12 oz small bottle),2.28 $,1.27,3.06
Restaurants,Cigarettes 20 Pack (Marlboro),4.02 $,3.57,4.07
Restaurants,One-way Ticket (Local Transport),0.61 $,0.51,0.71
Restaurants,Monthly Pass (Regular Price),52.15 $,25.47,73.35
Restaurants,Taxi Start (Normal Tariff),3.06 $,2.55,5.09
Restaurants,Taxi 1 mile (Normal Tariff),4.21 $,2.55,4.92
Restaurants,Taxi 1hour Waiting (Normal Tariff),10.00 $,7.64,20.37
Restaurants,Gasoline (1 gallon),4.71 $,4.59,5.01
Restaurants,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"25,468.03 $","22,921.23","28,014.83"
Restaurants,Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"21,901.23 $","19,355.70","22,411.87"
