category,item,price,min_price,max_price
Restaurants,"Meal, Inexpensive Restaurant",6.86 $,4.80,10.29
Restaurants,"Meal for 2 People, Mid-range Restaurant, Three-course",48.01 $,34.30,144.04
Restaurants,McMeal at McDonalds (or Equivalent Combo Meal),5.49 $,5.14,6.17
Restaurants,Domestic Beer (1 pint draught),3.43 $,1.71,5.49
Restaurants,Imported Beer (12 oz small bottle),4.80 $,2.40,6.86
Restaurants,Cappuccino (regular),3.57 $,1.71,5.49
Restaurants,Coke/Pepsi (12 oz small bottle),1.17 $,0.82,2.06
Restaurants,Water (12 oz small bottle),0.77 $,0.69,1.27
Restaurants,"Milk (regular), (1 gallon)",6.21 $,5.19,8.57
Restaurants,Loaf of Fresh White Bread (1 lb),1.53 $,0.75,3.11
Restaurants,"Rice (white), (1 lb)",1.78 $,0.93,3.11
Restaurants,Eggs (regular) (12),2.24 $,1.11,3.29
Restaurants,Local Cheese (1 lb),7.48 $,2.49,15.56
Restaurants,Chicken Fillets (1 lb),3.39 $,1.87,4.67
Restaurants,Beef Round (1 lb) (or Equivalent Back Leg Red Meat),10.00 $,4.36,21.78
Restaurants,Apples (1 lb),2.28 $,1.37,4.67
Restaurants,Banana (1 lb),1.14 $,0.62,1.87
Restaurants,Oranges (1 lb),2.63 $,1.18,4.67
Restaurants,Tomato (1 lb),2.35 $,0.93,4.67
Restaurants,Potato (1 lb),1.28 $,0.75,1.85
Restaurants,Onion (1 lb),1.29 $,0.69,1.87
Restaurants,Lettuce (1 head),1.48 $,0.75,2.06
Restaurants,Water (1.5 liter bottle),0.87 $,0.58,1.23
Restaurants,Bottle of Wine (Mid-Range),7.89 $,4.80,17.15
Restaurants,Domestic Beer (0.5 liter bottle),2.20 $,1.47,3.09
Restaurants,Imported Beer (12 oz small bottle),2.98 $,1.71,3.77
Restaurants,Cigarettes 20 Pack (Marlboro),4.12 $,3.77,4.46
Restaurants,One-way Ticket (Local Transport),1.51 $,1.23,2.06
Restaurants,Monthly Pass (Regular Price),54.87 $,30.18,121.20
Restaurants,Taxi Start (Normal Tariff),3.43 $,3.09,4.80
Restaurants,Taxi 1 mile (Normal Tariff),4.86 $,4.33,6.07
Restaurants,Taxi 1hour Waiting (Normal Tariff),25.99 $,20.58,34.30
Restaurants,Gasoline (1 gallon),4.67 $,4.41,5.19
Restaurants,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"22,923.39 $","18,519.79","23,396.67"
Restaurants,Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"17,234.84 $","15,776.12","19,205.71"
Restaurants,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 915 sq ft Apartment",184.97 $,124.94,315.52
Restaurants,Mobile Phone Monthly Plan with Calls and 10GB+ Data,26.51 $,13.72,48.01
Restaurants,"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",33.43 $,27.44,44.58
Restaurants,"Fitness Club, Monthly Fee for 1 Adult",68.78 $,28.81,102.89
Restaurants,Tennis Court Rent (1 Hour on Weekend),20.40 $,8.92,27.44
Restaurants,"Cinema, International Release, 1 Seat",12.69 $,10.97,15.09
Restaurants,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",558.65 $,259.96,982.74
Restaurants,"International Primary School, Yearly for 1 Child","14,973.69 $","9,254.72","26,064.89"
Restaurants,1 Pair of Jeans (Levis 501 Or Similar),54.48 $,20.58,82.31
Restaurants,"1 Summer Dress in a Chain Store (Zara, H&M, ...)",39.65 $,17.08,54.87
Restaurants,1 Pair of Nike Running Shoes (Mid-Range),65.11 $,34.30,89.17
Restaurants,1 Pair of Men Leather Business Shoes,87.29 $,34.30,137.18
Restaurants,Apartment (1 bedroom) in City Centre,"1,185.87 $",685.92,"1,714.80"
Restaurants,Apartment (1 bedroom) Outside of Centre,618.64 $,445.85,"1,097.47"
Restaurants,Apartment (3 bedrooms) in City Centre,"2,969.72 $","1,714.80","4,458.47"
Restaurants,Apartment (3 bedrooms) Outside of Centre,"1,297.08 $",823.10,"2,057.75"
Restaurants,Price per Square Feet to Buy Apartment in City Centre,965.68 $,637.23,"1,911.70"
Restaurants,Price per Square Feet to Buy Apartment Outside of Centre,497.46 $,356.72,700.96
Restaurants,Average Monthly Net Salary (After Tax),"2,535.76 $",N/A,N/A
Restaurants,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",1.86,1.00,2.58
Markets,"Meal, Inexpensive Restaurant",6.86 $,4.80,10.29
Markets,"Meal for 2 People, Mid-range Restaurant, Three-course",48.01 $,34.30,144.04
Markets,McMeal at McDonalds (or Equivalent Combo Meal),5.49 $,5.14,6.17
Markets,Domestic Beer (1 pint draught),3.43 $,1.71,5.49
Markets,Imported Beer (12 oz small bottle),4.80 $,2.40,6.86
